id,name,state_id,country_id
904,Hollis Center,6,1
905,Kennebunk,6,1
906,Kennebunkport,6,1
907,Parsonsfield,6,1
908,Limerick,6,1
909,Limington,6,1
910,Long Island,6,1
911,Lovell,6,1
912,Naples,6,1
913,Newfield,6,1
914,North Bridgton,6,1
915,North Waterboro,6,1
916,Windham,6,1
917,Ocean Park,6,1
918,Old Orchard Beach,6,1
919,Orrs Island,6,1
920,Porter,6,1
921,Pownal,6,1
922,Raymond,6,1
923,Saco,6,1
924,Sanford,6,1
925,Scarborough,6,1
926,Shapleigh,6,1
927,Harpswell,6,1
928,Springvale,6,1
929,Standish,6,1
930,Steep Falls,6,1
931,Topsham,6,1
932,Waterboro,6,1
933,Waterford,6,1
934,Wells,6,1
935,West Baldwin,6,1
936,Westbrook,6,1
937,Buxton,6,1
938,West Newfield,6,1
939,Yarmouth,6,1
940,North Yarmouth,6,1
941,Portland,6,1
942,Falmouth,6,1
943,South Portland,6,1
944,Cape Elizabeth,6,1
945,Peaks Island,6,1
946,Cumberland Foreside,6,1
947,Auburn,6,1
948,Andover,6,1
949,Bethel,6,1
950,Bryant Pond,6,1
951,Buckfield,6,1
952,Canton,6,1
953,Durham,6,1
954,Dixfield,6,1
955,East Andover,6,1
956,East Dixfield,6,1
957,Stoneham,6,1
958,East Wilton,6,1
959,Greene,6,1
960,Hanover,6,1
961,Hebron,6,1
962,Jay,6,1
963,Lewiston,6,1
964,Lisbon,6,1
965,Lisbon Falls,6,1
966,Livermore,6,1
967,Livermore Falls,6,1
968,Greenwood,6,1
969,Mechanic Falls,6,1
970,Mexico,6,1
971,Minot,6,1
972,Monmouth,6,1
973,New Gloucester,6,1
974,Newry,6,1
975,Leeds,6,1
976,North Monmouth,6,1
977,North Waterford,6,1
978,Norway,6,1
979,Oxford,6,1
980,Paris,6,1
981,Poland,6,1
982,Roxbury,6,1
983,Rumford,6,1
984,Sabattus,6,1
985,South Paris,6,1
986,Turner,6,1
987,Wayne,6,1
988,Weld,6,1
989,West Bethel,6,1
990,Bowdoin,6,1
991,West Paris,6,1
992,Peru,6,1
993,Sumner,6,1
994,Wilton,6,1
995,Augusta,6,1
996,Coopers Mills,6,1
997,Dresden,6,1
998,Farmingdale,6,1
999,Gardiner,6,1
1000,Randolph,6,1
1001,Hallowell,6,1
1002,Jefferson,6,1
1003,Kents Hill,6,1
1004,Litchfield,6,1
1005,Manchester,6,1
1006,Mount Vernon,6,1
1007,Whitefield,6,1
1008,Palermo,6,1
1009,Readfield,6,1
1010,Richmond,6,1
1011,South China,6,1
1012,South Gardiner,6,1
1013,Vienna,6,1
1014,Windsor,6,1
1015,Winthrop,6,1
1016,Bangor,6,1
1017,Abbot,6,1
1018,Aurora,6,1
1019,Bradford,6,1
1020,Bradley,6,1
1021,Brewer,6,1
1022,Brookton,6,1
1023,Brownville,6,1
1024,Brownville Junction,6,1
1025,Bucksport,6,1
1026,Burlington,6,1
1027,Greenbush,6,1
1028,Carmel,6,1
1029,Castine,6,1
1030,Charleston,6,1
1031,Danforth,6,1
1032,Dover Foxcroft,6,1
1033,Corinth,6,1
1034,Eddington,6,1
1035,Holden,6,1
1036,East Millinocket,6,1
1037,East Orland,6,1
1038,Etna,6,1
1039,Exeter,6,1
1040,Frankfort,6,1
1041,Greenville,6,1
1042,Greenville Junction,6,1
1043,Guilford,6,1
1044,Hampden,6,1
1045,Howland,6,1
1046,Hudson,6,1
1047,Kenduskeag,6,1
1048,Kingman,6,1
1049,Lagrange,6,1
1050,Lambert Lake,6,1
1051,Lee,6,1
1052,Levant,6,1
1053,Lincoln,6,1
1054,Mattawamkeag,6,1
1055,Medway,6,1
1056,Milford,6,1
1057,Millinocket,6,1
1058,Milo,6,1
1059,Monson,6,1
1060,Old Town,6,1
1061,Orono,6,1
1062,Orient,6,1
1063,Orland,6,1
1064,Orrington,6,1
1065,Passadumkeag,6,1
1066,Penobscot,6,1
1067,Rockwood,6,1
1068,Sangerville,6,1
1069,Sebec,6,1
1070,Shirley Mills,6,1
1071,Springfield,6,1
1072,Stetson,6,1
1073,Stillwater,6,1
1074,Topsfield,6,1
1075,Vanceboro,6,1
1076,Waite,6,1
1077,West Enfield,6,1
1078,Winn,6,1
1079,Winterport,6,1
1080,Wytopitlock,6,1
1081,Bath,6,1
1082,Alna,6,1
1083,Boothbay,6,1
1084,Boothbay Harbor,6,1
1085,Bristol,6,1
1086,Chamberlain,6,1
1087,Damariscotta,6,1
1088,East Boothbay,6,1
1089,Friendship,6,1
1090,Georgetown,6,1
1091,Bremen,6,1
1092,Newcastle,6,1
1093,New Harbor,6,1
1094,Nobleboro,6,1
1095,Edgecomb,6,1
1096,Pemaquid,6,1
1097,Phippsburg,6,1
1098,Cushing,6,1
1099,Round Pond,6,1
1100,South Bristol,6,1
1101,Squirrel Island,6,1
1102,Trevett,6,1
1103,Waldoboro,6,1
1104,Walpole,6,1
1105,Washington,6,1
1106,West Boothbay Harbor,6,1
1107,Southport,6,1
1108,Wiscasset,6,1
1109,Woolwich,6,1
1110,Ellsworth,6,1
1111,Addison,6,1
1112,Gouldsboro,6,1
1113,Bar Harbor,6,1
1114,Beals,6,1
1115,Bernard,6,1
1116,Birch Harbor,6,1
1117,Blue Hill,6,1
1118,Brooklin,6,1
1119,Brooksville,6,1
1120,Calais,6,1
1121,Cherryfield,6,1
1122,Columbia Falls,6,1
1123,Corea,6,1
1124,Cranberry Isles,6,1
1125,Cutler,6,1
1126,Deer Isle,6,1
1127,Dennysville,6,1
1128,East Machias,6,1
1129,Eastport,6,1
1130,Franklin,6,1
1131,Frenchboro,6,1
1132,Hancock,6,1
1133,Harborside,6,1
1134,Harrington,6,1
1135,Isle Au Haut,6,1
1136,Islesford,6,1
1137,Jonesboro,6,1
1138,Jonesport,6,1
1139,Little Deer Isle,6,1
1140,Lubec,6,1
1141,Bass Harbor,6,1
1142,Machias,6,1
1143,Machiasport,6,1
1144,Meddybemps,6,1
1145,Milbridge,6,1
1146,Mount Desert,6,1
1147,Northeast Harbor,6,1
1148,Sullivan,6,1
1149,Pembroke,6,1
1150,Perry,6,1
1151,Princeton,6,1
1152,Prospect Harbor,6,1
1153,Robbinston,6,1
1154,Sargentville,6,1
1155,Seal Cove,6,1
1156,Seal Harbor,6,1
1157,Sedgwick,6,1
1158,Sorrento,6,1
1159,Southwest Harbor,6,1
1160,Steuben,6,1
1161,Stonington,6,1
1162,Sunset,6,1
1163,Surry,6,1
1164,Swans Island,6,1
1165,Wesley,6,1
1166,Whiting,6,1
1167,Winter Harbor,6,1
1168,Baileyville,6,1
1169,Houlton,6,1
1170,Ashland,6,1
1171,Benedicta,6,1
1172,Blaine,6,1
